trip_id,stop_id,stop_sequence,delay,category,operator
9503266262924815646,8000412,19,0,RE,800647
9503266262924815646,8000412,19,0,RE,800647
9505427534308068755,8083368,18,60,S,8003S
9505427534308068755,8083368,18,60,S,8003S
9508415453916795284,8083368,9,60,RB,800352
9508415453916795284,8083368,9,60,RB,800352
9520488043524258225,8077774,6,0,HzL,R7
9525233487347722394,8007106,1,0,SWE,S6
9525233487347722394,8007105,2,0,SWE,S6
9525233487347722394,8007105,2,0,SWE,S6
9525233487347722394,8007104,3,0,SWE,S6
9525233487347722394,8007104,3,0,SWE,S6
9525233487347722394,8007103,4,0,SWE,S6
9525233487347722394,8007103,4,0,SWE,S6
9525233487347722394,8007102,5,0,SWE,S6
9525233487347722394,8007102,5,0,SWE,S6
9525233487347722394,8007101,6,0,SWE,S6
9525233487347722394,8007101,6,0,SWE,S6
9525233487347722394,8000942,7,0,SWE,S6
9528473775667003784,8006167,1,0,S,kvv021
9531894907297837288,8300238,3,0,EN,81
9531894907297837288,8300238,3,0,EN,81
9531894907297837288,8300209,4,0,EN,81
9531894907297837288,8300209,4,0,EN,81
9542323981995141165,8003400,2,0,S,kvv021
9544942110879111132,8000322,3,180,IC,80
9544942110879111132,8000322,3,180,IC,80
9544942110879111132,8000163,4,240,IC,80
9544942110879111132,8000163,4,240,IC,80
9544942110879111132,8000073,5,0,IC,80
9548715621108264473,8083368,3,60,RB,800352
9548715621108264473,8083368,3,240,RB,800352
9564177887672914772,8000107,1,0,S,8006C6
9577844071276983591,8000322,1,60,RB,8006D6
9583699185260360517,8003729,1,0,SBB,L721
9583699185260360517,8006272,8,0,SBB,L721
9584596665820272248,8006272,1,0,SBB,L721
9584596665820272248,8003729,8,0,SBB,L721
9584596665820272248,8003729,8,0,SBB,L721
9595809427201752564,8000107,1,0,RB,8006C4
9595809427201752564,8002465,2,60,RB,8006C4
